,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,1,1,18,1,1,0,4,4,at_home,teacher,course,2,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,0,11,11
1,1,1,17,1,1,1,1,1,at_home,other,course,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,9,11,11
2,1,1,15,1,0,1,1,1,at_home,other,other,2,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12,13,12
3,1,1,15,1,1,1,4,2,health,services,home,2,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14
4,1,1,16,1,1,1,3,3,other,other,home,1,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,11,13,13
5,1,0,16,1,0,1,4,3,services,other,reputation,2,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12,12,13
6,1,0,16,1,0,1,2,2,other,other,home,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,13,12,13
7,1,1,17,1,1,0,4,4,other,teacher,home,2,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,10,13,13
8,1,0,15,1,0,0,3,2,services,other,home,2,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0,15,16,17
9,1,0,15,1,1,1,3,4,other,other,home,2,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,12,12,13
10,1,1,15,1,1,1,4,4,teacher,health,reputation,2,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14,14,14
11,1,1,15,1,1,1,2,1,services,other,reputation,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,10,12,13
12,1,0,15,1,0,1,4,4,health,services,course,1,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12,13,12
13,1,0,15,1,1,1,4,3,teacher,other,course,2,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,12,12,13
14,1,0,15,1,1,0,2,2,other,other,home,0,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,14,15
15,1,1,16,1,1,1,4,4,health,other,home,2,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,17,17
16,1,1,16,1,1,1,4,4,services,services,reputation,2,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14
17,1,1,16,1,1,1,3,3,other,other,reputation,2,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13,14,14
18,1,0,17,1,1,1,3,2,services,services,course,2,1,1,3,0,1,1,1,1,1,1,0,5,5,5,2,4,5,2,8,8,7
19,1,0,16,1,0,1,4,3,health,other,home,1,1,1,0,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,12,12,12
20,1,0,15,1,1,1,4,3,teacher,other,reputation,2,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,12,13,14
21,1,0,15,1,1,1,4,4,health,health,other,1,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,11,12,12
22,1,0,16,1,0,1,4,2,teacher,other,course,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,12,13,14
23,1,0,16,1,0,1,2,2,other,other,reputation,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10,10,10
24,1,1,15,0,1,1,2,4,services,health,course,2,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10,11,10
25,1,1,16,1,1,1,2,2,services,services,home,2,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,10,11,12
26,1,0,15,1,1,1,2,2,other,other,home,2,1,1,0,0,1,0,0,1,1,1,0,4,2,2,1,2,5,8,11,12,12
27,1,0,15,1,1,1,4,2,health,services,other,2,1,1,0,0,0,0,0,1,1,1,0,2,2,4,2,4,1,0,11,11,11
28,1,0,16,1,0,0,3,4,services,other,home,2,1,2,0,1,1,1,1,1,1,1,0,5,3,3,1,1,5,2,12,12,13
29,1,0,16,1,1,1,4,4,teacher,teacher,home,2,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,4,12,11,12
30,1,0,15,1,1,1,4,4,health,services,home,2,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10,11,11
